ID,DetoP(GPa),smiles
DAHLAZ,7.1,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1
DAJXUH,19,[O-][N+](=O)c1ccc(c(c1)C(=O)O)[N+](=O)[O-]
DAPJOU,17.8,[O-][N+](=O)c1cc(cc(c1OCC1CC1)[N+](=O)[O-])[N+](=O)[O-]
DARQUJ,6.2,O=C1C[C@@H](N1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
DARRAQ,9.5,O=C1C[C@H](N1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
DARWAX,11.5,[O-][N+](=O)c1cc(ccc1C(=O)c1ccccn1)[N+](=O)[O-]
DARWEB,7.8,O=C(c1ccncc1)c1ccc(cc1)[N+](=O)[O-]
DATGEL,7.9,[O-][N+](=O)c1ccc(c(c1N)C)C
DATNBZ01,27.8,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DAVKET,5.3,N#CC(=c1cc(C)n(c(c1)C)CC)c1ccc(cc1)[N+](=O)[O-]
DAVQOH,11.9,N#Cc1cc(cc2c1c1c(C#N)cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-]
DAVXAZ,18.4,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXED,19.3,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
